claim_id,idd_pol_policy,idd_cus_customer,idd_prd_product,d_claim_date,amt_claim
C-2023-0000001,P-2023-000633,100569,ee203b1703de1595784024279eff985b,2023-08-08,380.75
C-2023-0000002,P-2023-001264,100857,7f89c4cd954b7f708ce420be328cebb4,2023-11-09,488.49
C-2024-0000003,P-2024-002349,100039,ee203b1703de1595784024279eff985b,2024-12-26,1033.54
C-2024-0000004,P-2024-001593,100159,ee203b1703de1595784024279eff985b,2024-12-16,317.7
C-2025-0000005,P-2025-001552,100505,ee203b1703de1595784024279eff985b,2025-09-12,241.2
C-2025-0000006,P-2025-001000,100607,19bd7beafce7eb141e672aec8fe7d7c3,2025-10-23,564.95
C-2024-0000007,P-2023-000718,100068,ee203b1703de1595784024279eff985b,2024-02-24,412.63
C-2025-0000008,P-2024-001641,100386,dcfcf92bb54103cb27c8801b1960989c,2025-08-12,1011.61
C-2025-0000009,P-2024-002543,100179,7f89c4cd954b7f708ce420be328cebb4,2025-05-17,162.21
C-2025-0000010,P-2025-000495,100879,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-08-14,1673.89
C-2025-0000011,P-2024-001141,100011,7f89c4cd954b7f708ce420be328cebb4,2025-01-13,208.42
C-2024-0000012,P-2024-002843,100869,ee203b1703de1595784024279eff985b,2024-09-30,232.03
C-2023-0000013,P-2023-001525,100898,a2a38920c9919e09c8703d8892080502,2023-12-16,251.82
C-2024-0000014,P-2024-001981,100366,dcfcf92bb54103cb27c8801b1960989c,2024-10-29,2715.81
C-2023-0000015,P-2023-000734,100867,eb1f8989a62d585d97875883da198e51,2023-09-22,309.0
C-2025-0000016,P-2024-000424,100983,eb1f8989a62d585d97875883da198e51,2025-01-09,696.27
C-2025-0000017,P-2024-002407,100262,7f89c4cd954b7f708ce420be328cebb4,2025-03-09,342.99
C-2024-0000018,P-2023-000145,100232,3c66679311c1abec9d9192d01ce26f07,2024-07-07,1504.66
C-2025-0000019,P-2024-001656,100451,dcfcf92bb54103cb27c8801b1960989c,2025-12-06,1328.49
C-2023-0000020,P-2023-001654,100741,3ef69f90a5178021fa2875bdb7700d8e,2023-06-10,243.53
C-2025-0000021,P-2025-001881,100588,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-06-07,7221.34
C-2024-0000022,P-2024-001032,100707,7f89c4cd954b7f708ce420be328cebb4,2024-11-21,172.9
C-2023-0000023,P-2023-002991,100478,2faf36b0c9f62ee6b234e8e2630d7d3a,2023-03-08,3100.37
C-2024-0000024,P-2023-001376,100533,eb1f8989a62d585d97875883da198e51,2024-02-27,186.48
C-2025-0000025,P-2025-002892,100699,ee203b1703de1595784024279eff985b,2025-11-26,896.35
C-2025-0000026,P-2024-001230,100858,2faf36b0c9f62ee6b234e8e2630d7d3a,2025-03-14,1006.63
C-2023-0000027,P-2023-000395,100019,19bd7beafce7eb141e672aec8fe7d7c3,2023-10-17,823.76
C-2025-0000028,P-2024-001696,100261,a2a38920c9919e09c8703d8892080502,2025-05-13,261.31
C-2024-0000029,P-2023-000112,100433,3c66679311c1abec9d9192d01ce26f07,2024-06-17,1004.15
C-2025-0000030,P-2024-000753,100642,19bd7beafce7eb141e672aec8fe7d7c3,2025-06-24,472.46
C-2025-0000031,P-2025-001375,100568,ee203b1703de1595784024279eff985b,2025-05-17,167.64
C-2024-0000032,P-2023-000870,100283,eb1f8989a62d585d97875883da198e51,2024-03-16,349.92
C-2025-0000033,P-2024-001172,100350,19bd7beafce7eb141e672aec8fe7d7c3,2025-01-01,1497.24
C-2023-0000034,P-2023-002373,100072,eb1f8989a62d585d97875883da198e51,2023-11-16,248.46
C-2024-0000035,P-2023-002937,100221,3c66679311c1abec9d9192d01ce26f07,2024-02-07,1794.21
C-2024-0000036,P-2024-002017,100158,3c66679311c1abec9d9192d01ce26f07,2024-09-29,1536.47
C-2025-0000037,P-2025-000207,100308,19bd7beafce7eb141e672aec8fe7d7c3,2025-08-25,703.65
C-2025-0000038,P-2025-002261,100562,dcfcf92bb54103cb27c8801b1960989c,2025-08-11,795.17
C-2024-0000039,P-2023-000909,100806,19bd7beafce7eb141e672aec8fe7d7c3,2024-03-10,1678.13
C-2026-0000040,P-2025-001662,100782,ee203b1703de1595784024279eff985b,2026-07-16,448.0
C-2025-0000041,P-2025-001708,100569,ee203b1703de1595784024279eff985b,2025-02-18,509.42
C-2024-0000042,P-2024-000913,100777,eb1f8989a62d585d97875883da198e51,2024-06-09,326.14
C-2023-0000043,P-2023-000972,100681,eb1f8989a62d585d97875883da198e51,2023-10-28,505.05
C-2024-0000044,P-2024-001903,100713,3c66679311c1abec9d9192d01ce26f07,2024-04-10,1679.25
C-2024-0000045,P-2023-002109,100459,eb1f8989a62d585d97875883da198e51,2024-02-17,215.93
C-2026-0000046,P-2025-000988,100226,3ef69f90a5178021fa2875bdb7700d8e,2026-02-22,252.4
C-2024-0000047,P-2024-001845,100160,19bd7beafce7eb141e672aec8fe7d7c3,2024-09-05,1194.78
C-2025-0000048,P-2025-001361,100070,3ef69f90a5178021fa2875bdb7700d8e,2025-04-18,535.13
C-2023-0000049,P-2023-001214,100505,eb1f8989a62d585d97875883da198e51,2023-12-24,426.9
C-2025-0000050,P-2024-001657,100338,19bd7beafce7eb141e672aec8fe7d7c3,2025-11-17,513.21
C-2025-0000051,P-2024-000647,100721,eb1f8989a62d585d97875883da198e51,2025-05-06,242.56
C-2024-0000052,P-2023-001911,100996,a2a38920c9919e09c8703d8892080502,2024-07-08,152.71
C-2024-0000053,P-2024-000365,100105,19bd7beafce7eb141e672aec8fe7d7c3,2024-11-14,568.59
C-2024-0000054,P-2023-002198,100227,7f89c4cd954b7f708ce420be328cebb4,2024-04-02,186.24
C-2023-0000055,P-2023-002449,100799,eb1f8989a62d585d97875883da198e51,2023-09-24,389.17
C-2023-0000056,P-2023-000194,100039,3c66679311c1abec9d9192d01ce26f07,2023-03-08,1373.49
C-2024-0000057,P-2023-002998,100414,dcfcf92bb54103cb27c8801b1960989c,2024-04-06,5209.58
C-2025-0000058,P-2024-000335,100072,7f89c4cd954b7f708ce420be328cebb4,2025-01-15,106.64
C-2026-0000059,P-2025-000842,100380,eb1f8989a62d585d97875883da198e51,2026-01-31,214.54
