idd_pol_policy,idd_cus_customer,idd_prd_product,d_cov_start,d_cov_end,amt_written_premium,cov_days_total,cov_days_elapsed,amt_earned_premium
P-2023-000019,100409,3c66679311c1abec9d9192d01ce26f07,2023-08-02,2024-08-28,560.38,393.0,393,560.38
P-2023-000079,100558,a2a38920c9919e09c8703d8892080502,2023-06-19,2024-06-23,38.98,371.0,371,38.98
P-2023-000115,100278,19bd7beafce7eb141e672aec8fe7d7c3,2023-12-09,2025-02-27,321.63,447.0,447,321.63
P-2023-000187,100181,ee203b1703de1595784024279eff985b,2023-03-10,2023-12-30,104.21,296.0,296,104.21
P-2023-000196,100025,ee203b1703de1595784024279eff985b,2023-01-13,2023-08-20,156.56,220.0,220,156.56
P-2023-000208,100771,3ef69f90a5178021fa2875bdb7700d8e,2023-04-07,2023-12-27,98.19,265.0,265,98.19
P-2023-000234,100604,7f89c4cd954b7f708ce420be328cebb4,2023-04-05,2024-05-23,126.19,415.0,415,126.19
P-2023-000242,100547,a2a38920c9919e09c8703d8892080502,2023-09-05,2024-07-19,28.22,319.0,319,28.22
P-2023-000254,100234,ee203b1703de1595784024279eff985b,2023-06-22,2024-05-03,128.65,317.0,317,128.65
P-2023-000281,100641,dcfcf92bb54103cb27c8801b1960989c,2023-03-19,2024-04-10,563.97,389.0,389,563.97
P-2023-000301,100207,eb1f8989a62d585d97875883da198e51,2023-04-15,2024-02-01,57.78,293.0,293,57.78
P-2023-000306,100776,ee203b1703de1595784024279eff985b,2023-06-14,2024-07-01,157.02,384.0,384,157.02
P-2023-000472,100135,ee203b1703de1595784024279eff985b,2023-02-08,2023-08-05,118.11,179.0,179,118.11
P-2023-000475,100443,19bd7beafce7eb141e672aec8fe7d7c3,2023-09-18,2024-10-11,96.52,390.0,390,96.52
P-2023-000496,100507,dcfcf92bb54103cb27c8801b1960989c,2023-12-09,2025-01-15,573.12,404.0,404,573.12
P-2023-000539,100467,ee203b1703de1595784024279eff985b,2023-07-29,2024-04-05,167.08,252.0,252,167.08
P-2023-000648,100486,eb1f8989a62d585d97875883da198e51,2023-07-29,2024-06-20,63.48,328.0,328,63.48
